
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.54	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 4.36	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 5.06	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.012	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 1.09	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.03	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.36	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.98	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.39	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.2	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 0.105	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty 3.99	
2024-01-11 22:00:39 INFO  Frontend:30 - Tworzenie interfejsu użytkownika dla strony: Kantor P&R
2024-01-11 22:00:39 INFO  Frontend:47 - Tworzenie interfejsu użytkownika zakończone sukcesem.
2024-01-11 22:00:39 INFO  ApiKantor:130 - Pobieranie danych zakończone sukcesem.
2024-01-11 22:00:44 INFO  CompUI:93 - Zapisano: asd
2024-01-11 22:00:44 INFO  Compare:17 - Rozpoczęcie porównywania cen dla waluty: ASD
2024-01-11 22:00:44 INFO  ApiCur:23 - Rozpoczęcie pobierania danych z URL: https://kantor.live/kantory/krakow/564840-kantor-kardinal
2024-01-11 22:00:46 INFO  ApiCur:108 - pobrano dane waluty AED: Kupno: 1.05, Sprzedaż: 1.15
2024-01-11 22:00:46 INFO  ApiCur:108 - pobrano dane waluty AUD: Kupno: 2.63, Sprzedaż: 2.69
2024-01-11 22:00:46 INFO  ApiCur:108 - pobrano dane waluty BGN: Kupno: 2.18, Sprzedaż: 2.55
2024-01-11 22:00:46 INFO  ApiCur:108 - pobrano dane waluty CAD: Kupno: 2.93, Sprzedaż: 2.99
2024-01-11 22:00:46 INFO  ApiCur:108 - pobrano dane waluty CNY: Kupno: 0.45, Sprzedaż: 0.65
2024-01-11 22:00:46 INFO  ApiCur:108 - pobrano dane waluty CZK: Kupno: 0.171, Sprzedaż: 0.177
2024-01-11 22:00:46 INFO  ApiCur:108 - pobrano dane waluty DKK: Kupno: 0.48, Sprzedaż: 0.6
2024-01-11 22:00:46 INFO  ApiCur:108 - pobrano dane waluty EUR: Kupno: 4.33, Sprzedaż: 4.36
2024-01-11 22:00:46 INFO  ApiCur:108 - pobrano dane waluty GBP: Kupno: 5.01, Sprzedaż: 5.06
2024-01-11 22:00:46 INFO  ApiCur:108 - pobrano dane waluty HUF: Kupno: 0.011, Sprzedaż: 0.013
